restaurant_name,city,address,latitude,longitude,cuisines,price_level,avg_rating,total_reviews_count,keywords,special_diets,features,atmosphere,keywords_clean,dominant_topic,target,target_pred,probability
L'Epicurien,Colmar,"11 rue Wickram Pres du Marche Couvert, 68000, Colmar France",48.074047,7.360337,"French, European, Healthy",€€-€€€,4.5,792.0,crab steak pork amazing meal main course,,,4.0,crab steak pork amazing meal main course,4,1,1,1.0352186494913391
BLISSS,Merignac,"98 avenue de Magudas, 33700 Merignac, Bordeaux France",44.856964,-0.658354,"French, Contemporary, Healthy",€€€€,5.0,1264.0,front house downtown bordeaux city centre small restaurant french cuisine,,,,front house downtown bordeaux city centre small restaurant french cuisine,2,1,1,0.9265322488199152
La Catrina,Paris,"141 rue du Faubourg Saint Denis, 75010 Paris France",48.877964,2.35639,French,€,4.0,86.0,rabbit steak cheese sauce close our hotel gard,Vegetarian Friendly,,,rabbit steak cheese sauce close our hotel gard,0,1,1,0.6244983535523511
Les Platanes,Poilhes,"1 Place de la Liberte, 34310 Poilhes France",43.307312,3.077314,"French, Mediterranean, European",€€-€€€,4.5,332.0,pudding plane trees canal du new zealand red wine,"Vegetarian Friendly, Gluten Free Options",,4.5,pudding plane trees canal du new zealand red wine,2,1,1,0.8861004852519219
Les Garcons,Villefranche-sur-Mer,"18 rue du Poilu, 06230 Villefranche-sur-Mer France",43.703957,7.311706,"French, Mediterranean, European, Healthy",€€-€€€,4.5,998.0,lamb shank tagliata calamari filet courtyard setting,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service",4.5,lamb shank tagliata calamari filet courtyard setting,4,1,1,0.26957131398379625
Piccola Italia,Nice,"5 rue Mascoinat, 06300 Nice France",43.69787,7.276578,"Italian, Pizza, European",€€-€€€,3.5,371.0,pizza tiramisu old town french riviera last night,Vegetarian Friendly,,3.5,pizza tiramisu old town french riviera last night,3,0,0,-0.20013337302319023
Le Noailles,Bordeaux,"12 Allees de Tourny, 33000, Bordeaux France",44.843266,-0.575371,French,€€-€€€,4.0,1248.0,oysters liver sole salmon salad,,,4.0,oysters liver sole salmon salad,5,1,0,-1.018677994767939
Kalimera,Strasbourg,"10 rue Sainte Catherine Krutenau, 67000, Strasbourg France",48.580257,7.757305,"Greek, Mediterranean, European, Healthy, International",€€-€€€,4.0,68.0,olive oil visiting strasbourg greek nikol bistro,Vegetarian Friendly,,,olive oil visiting strasbourg greek nikol bistro,2,1,1,1.094088844094578
Le Mercière,Lyon,"56 rue Merciere, 69002 Lyon France",45.76259,4.832739,"French, European",€€-€€€,4.0,1203.0,truffe quenelle penne beef salad,,,3.5,truffe quenelle penne beef salad,0,1,1,1.3363039380036028
L'Imparfait,Bergerac City,"8 rue des Fontaines à 10 rtue des Fontaines, 24100 Bergerac City, Bergerac France",44.85073,0.483719,"French, European, Healthy",€€€€,4.5,976.0,caviar pate scallops euro menu old building,"Vegetarian Friendly, Gluten Free Options",,4.0,caviar pate scallops euro menu old building,4,1,1,1.0728401909400689
Racines,Bordeaux,"59 rue Georges Bonnac, 33000, Bordeaux France",44.840076,-0.58386,"French, Healthy",€€€€,4.5,878.0,quail course menu waiters were friendly chocolatey presentation,,,,quail course menu waiters were friendly chocolatey presentation,4,1,1,0.8695912959564174
Chiloa Gourments,Bayonne,"7, Rue des Tonneliers, 64100, Bayonne France",43.49101,-1.473697,French,€,4.5,294.0,potatoes veal gateau basque veau omelette,,"Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",4.0,potatoes veal gateau basque veau omelette,2,1,1,1.4752585721721965
Le Foy,Langres,"7 Place Diderot, 52200 Langres France",47.862797,5.334189,French,€€-€€€,3.5,373.0,salad chocolate mousse burger local cheese beer,,,3.5,salad chocolate mousse burger local cheese beer,5,0,1,0.29529475899059826
Restaurant L'Etage,Annecy,"13 rue du Paquier, 74000, Annecy France",45.900967,6.126608,"French, European",€€-€€€,4.0,1396.0,raclette steak bone marrow salad potatoes,Vegetarian Friendly,,4.0,raclette steak bone marrow salad potatoes,5,1,0,-0.7334246522501716
La Petite Tour,Paris,"11 rue de la Tour Quartier Passy, 75116 Paris France",48.859097,2.283163,"French, European",€€-€€€,4.5,349.0,veal ceviche creme brulee passy area chilly evening,Vegetarian Friendly,,4.0,veal ceviche creme brulee passy area chilly evening,5,1,1,0.31555241985666255
Restaurant David Toutain,Paris,"29 rue Surcouf, 75007 Paris France",48.860218,2.309641,"French, European",€€€€,4.5,744.0,tasting menu cod food lovers memorable meal worth every euro,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,4.0,tasting menu cod food lovers memorable meal worth every euro,4,1,1,1.7320285600294159
